,Unnamed: 0,model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_,mape
0,0,naive,3808.493,50.7765,61.713,-1.3126,21.4781
1,1,tft,2566.9853,42.7254,50.6654,-0.5587,18.6652
2,2,lstm,3621.0923,47.7941,60.1755,-1.1988,20.4239
3,3,nbeats,8461.9819,67.8996,91.989,-4.1383,27.0301
4,4,deepar,147303.1183,361.8434,383.8009,-88.4456,162.3037
5,5,tcn,5622.909,57.9019,74.9861,-2.4143,23.097
6,6,transformer,5182.3998,56.2405,71.9889,-2.1469,22.4218
7,7,arima,3594.8102,50.0553,59.9567,-1.1828,22.4499
8,8,exponential_smoothing,4917.3791,59.5156,70.124,-1.9859,25.3462
9,9,theta,4104.6739,52.4786,64.0677,-1.4924,22.3683
10,10,fft,3350.4213,41.4947,57.8828,-1.0344,16.0627
